symbol,date,direction,entry_time,entry_price,target_price,stop_price,exit_time,exit_price,exit_reason,pnl
DRREDDY,2/27/2024,BUY,2024-02-27 09:25:00,1287.95,1294.3897499999998,1284.730125,2024-02-27 09:45:00,1284.730125,stop_loss,-0.0025
DRREDDY,2/27/2024,SELL,2024-02-27 10:10:00,1278.1,1271.7095,1281.29525,2024-02-27 10:30:00,1281.29525,stop_loss,-0.0025
DRREDDY,2/28/2024,BUY,2024-02-28 09:35:00,1293.8,1300.2689999999998,1290.5655,2024-02-28 09:50:00,1290.5655,stop_loss,-0.0025
DRREDDY,2/28/2024,SELL,2024-02-28 09:55:00,1286.3,1279.8685,1289.5157499999998,2024-02-28 13:05:00,1279.8685,target_hit,0.005
DRREDDY,2/29/2024,SELL,2024-02-29 09:20:00,1273.25,1266.88375,1276.433125,2024-02-29 09:25:00,1276.433125,stop_loss,-0.0025
DRREDDY,2/29/2024,BUY,2024-02-29 09:35:00,1286.45,1292.8822499999999,1283.2338750000001,2024-02-29 09:40:00,1283.2338750000001,stop_loss,-0.0025
DRREDDY,3/1/2024,SELL,2024-03-01 09:40:00,1283.6,1277.182,1286.8089999999997,2024-03-01 10:10:00,1277.182,target_hit,0.005
DRREDDY,3/1/2024,BUY,2024-03-01 13:30:00,1293.65,1300.11825,1290.4158750000001,2024-03-01 13:55:00,1290.4158750000001,stop_loss,-0.0025
DRREDDY,3/4/2024,BUY,2024-03-04 09:20:00,1261.6,1267.9079999999997,1258.446,2024-03-04 09:25:00,1267.9079999999997,target_hit,0.005
DRREDDY,3/5/2024,BUY,2024-03-05 09:20:00,1268.45,1274.79225,1265.2788750000002,2024-03-05 09:35:00,1265.2788750000002,stop_loss,-0.0025
DRREDDY,3/5/2024,SELL,2024-03-05 10:35:00,1258.35,1252.0582499999998,1261.4958749999998,2024-03-05 11:00:00,1252.0582499999998,target_hit,0.005
DRREDDY,3/6/2024,SELL,2024-03-06 09:20:00,1249.65,1243.40175,1252.774125,2024-03-06 09:30:00,1252.774125,stop_loss,-0.0025
DRREDDY,3/6/2024,BUY,2024-03-06 15:15:00,1264.35,1270.6717499999997,1261.1891249999999,2024-03-06 15:15:00,1264.35,time_exit,0.0
DRREDDY,3/7/2024,BUY,2024-03-07 09:20:00,1268.65,1274.99325,1265.4783750000001,2024-03-07 13:20:00,1265.4783750000001,stop_loss,-0.0025
DRREDDY,3/11/2024,SELL,2024-03-11 09:20:00,1264.5,1258.1775,1267.6612499999999,2024-03-11 09:25:00,1267.6612499999999,stop_loss,-0.0025
DRREDDY,3/11/2024,BUY,2024-03-11 11:25:00,1280.7,1287.1035,1277.49825,2024-03-11 11:55:00,1277.49825,stop_loss,-0.0025
DRREDDY,3/12/2024,SELL,2024-03-12 09:20:00,1281.35,1274.9432499999998,1284.5533749999997,2024-03-12 09:35:00,1274.9432499999998,target_hit,0.005
DRREDDY,3/13/2024,SELL,2024-03-13 09:20:00,1258.0,1251.71,1261.145,2024-03-13 09:30:00,1261.145,stop_loss,-0.0025
DRREDDY,3/14/2024,BUY,2024-03-14 09:50:00,1256.95,1263.2347499999998,1253.8076250000001,2024-03-14 10:25:00,1253.8076250000001,stop_loss,-0.0025
DRREDDY,3/15/2024,SELL,2024-03-15 09:50:00,1251.0,1244.745,1254.1274999999998,2024-03-15 10:20:00,1244.745,target_hit,0.005
DRREDDY,3/18/2024,SELL,2024-03-18 09:20:00,1258.25,1251.95875,1261.3956249999999,2024-03-18 09:40:00,1261.3956249999999,stop_loss,-0.0025
DRREDDY,3/18/2024,BUY,2024-03-18 09:40:00,1263.4,1269.7169999999999,1260.2415,2024-03-18 11:20:00,1269.7169999999999,target_hit,0.005
DRREDDY,3/19/2024,SELL,2024-03-19 09:20:00,1258.05,1251.75975,1261.195125,2024-03-19 09:35:00,1251.75975,target_hit,0.005
DRREDDY,3/20/2024,BUY,2024-03-20 09:20:00,1214.0,1220.07,1210.9650000000001,2024-03-20 09:30:00,1210.9650000000001,stop_loss,-0.0025
DRREDDY,3/20/2024,SELL,2024-03-20 09:20:00,1214.0,1207.93,1217.0349999999999,2024-03-20 09:40:00,1207.93,target_hit,0.005
DRREDDY,3/21/2024,SELL,2024-03-21 09:20:00,1218.6,1212.5069999999998,1221.6464999999998,2024-03-21 10:00:00,1221.6464999999998,stop_loss,-0.0025
DRREDDY,3/21/2024,BUY,2024-03-21 10:05:00,1225.35,1231.4767499999998,1222.286625,2024-03-21 12:10:00,1222.286625,stop_loss,-0.0025
DRREDDY,3/22/2024,BUY,2024-03-22 09:20:00,1230.4,1236.552,1227.324,2024-03-22 09:40:00,1227.324,stop_loss,-0.0025
DRREDDY,3/22/2024,SELL,2024-03-22 10:05:00,1223.4,1217.2830000000001,1226.4585,2024-03-22 10:20:00,1226.4585,stop_loss,-0.0025
DRREDDY,3/26/2024,BUY,2024-03-26 09:20:00,1236.75,1242.93375,1233.6581250000002,2024-03-26 09:35:00,1233.6581250000002,stop_loss,-0.0025
DRREDDY,3/26/2024,SELL,2024-03-26 09:35:00,1228.25,1222.10875,1231.3206249999998,2024-03-26 09:55:00,1231.3206249999998,stop_loss,-0.0025
DRREDDY,3/27/2024,SELL,2024-03-27 11:00:00,1222.55,1216.43725,1225.6063749999998,2024-03-27 13:10:00,1216.43725,target_hit,0.005
DRREDDY,3/28/2024,BUY,2024-03-28 09:45:00,1233.25,1239.4162499999998,1230.1668750000001,2024-03-28 10:10:00,1230.1668750000001,stop_loss,-0.0025
DRREDDY,4/1/2024,BUY,2024-04-01 10:55:00,1243.7,1249.9185,1240.59075,2024-04-01 13:35:00,1249.9185,target_hit,0.005
EICHERMOT,1/1/2024,SELL,2024-01-01 09:20:00,4056.0,4035.72,4066.14,2024-01-01 09:25:00,4066.14,stop_loss,-0.0025
EICHERMOT,1/2/2024,SELL,2024-01-02 09:55:00,3956.85,3937.0657499999998,3966.7421249999998,2024-01-02 10:25:00,3937.0657499999998,target_hit,0.005
EICHERMOT,1/3/2024,SELL,2024-01-03 11:05:00,3883.0,3863.585,3892.7075,2024-01-03 11:25:00,3892.7075,stop_loss,-0.0025
EICHERMOT,1/4/2024,SELL,2024-01-04 09:20:00,3872.8,3853.436,3882.482,2024-01-04 15:15:00,3860.05,time_exit,0.00329219
EICHERMOT,1/5/2024,BUY,2024-01-05 09:55:00,3904.0,3923.5199999999995,3894.2400000000002,2024-01-05 10:45:00,3894.2400000000002,stop_loss,-0.0025
EICHERMOT,1/5/2024,SELL,2024-01-05 14:15:00,3863.5,3844.1825,3873.1587499999996,2024-01-05 14:40:00,3873.1587499999996,stop_loss,-0.0025
EICHERMOT,1/8/2024,SELL,2024-01-08 11:10:00,3892.85,3873.38575,3902.582125,2024-01-08 11:15:00,3902.582125,stop_loss,-0.0025
EICHERMOT,1/9/2024,SELL,2024-01-09 09:20:00,3886.5,3867.0675,3896.21625,2024-01-09 09:35:00,3867.0675,target_hit,0.005
EICHERMOT,1/10/2024,SELL,2024-01-10 09:20:00,3807.5,3788.4625,3817.0187499999997,2024-01-10 09:40:00,3817.0187499999997,stop_loss,-0.0025
EICHERMOT,1/11/2024,BUY,2024-01-11 11:40:00,3903.95,3923.4697499999993,3894.190125,2024-01-11 14:10:00,3894.190125,stop_loss,-0.0025
EICHERMOT,1/12/2024,SELL,2024-01-12 09:50:00,3861.3,3841.9935,3870.95325,2024-01-12 12:50:00,3870.95325,stop_loss,-0.0025
EICHERMOT,1/15/2024,SELL,2024-01-15 09:40:00,3817.6,3798.5119999999997,3827.144,2024-01-15 10:15:00,3827.144,stop_loss,-0.0025
EICHERMOT,1/16/2024,BUY,2024-01-16 09:30:00,3799.75,3818.7487499999997,3790.250625,2024-01-16 10:00:00,3818.7487499999997,target_hit,0.005
EICHERMOT,1/17/2024,BUY,2024-01-17 09:20:00,3764.1,3782.9204999999997,3754.68975,2024-01-17 09:25:00,3754.68975,stop_loss,-0.0025
EICHERMOT,1/18/2024,SELL,2024-01-18 09:20:00,3722.7,3704.0865,3732.0067499999996,2024-01-18 09:30:00,3704.0865,target_hit,0.005
EICHERMOT,1/19/2024,BUY,2024-01-19 09:20:00,3773.5,3792.3674999999994,3764.0662500000003,2024-01-19 09:25:00,3764.0662500000003,stop_loss,-0.0025
EICHERMOT,1/20/2024,BUY,2024-01-20 09:20:00,3732.15,3750.8107499999996,3722.819625,2024-01-20 09:25:00,3722.819625,stop_loss,-0.0025
EICHERMOT,1/20/2024,SELL,2024-01-20 10:00:00,3691.65,3673.19175,3700.879125,2024-01-20 11:00:00,3700.879125,stop_loss,-0.0025
EICHERMOT,1/23/2024,BUY,2024-01-23 09:20:00,3741.55,3760.2577499999998,3732.1961250000004,2024-01-23 09:25:00,3732.1961250000004,stop_loss,-0.0025
EICHERMOT,1/23/2024,SELL,2024-01-23 10:00:00,3700.0,3681.5,3709.25,2024-01-23 10:10:00,3709.25,stop_loss,-0.0025
